Cores,Data Width,Hyper-Threading,Includes CPU Cooler,Integrated Graphics,Kind,L1 Cache,L2 Cache,L3 Cache,Link,Lithography,Manufacturer,Max Turbo Frequency,Maximum Supported Memory,Model,Name,Operating Frequency,Part #,Prices,Socket,Thermal Design Power,TDP,opfreq,turbo,avg,cores,short_link
4,64-bit,Yes,No,Intel HD Graphics 530,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 8MB,/product/tdmxFT/intel-cpu-bx80662i76700k,14.0,Intel,4.2GHz,64GB,Core i7-6700K,Intel Core i7-6700K 4.0GHz Quad-Core Processor,4.0GHz,BX80662I76700K,"[328.99, 338.88, 338.88, 349.99, 349.99, 354.49, 354.99]",LGA1151,91 Watts,91.0,4000.0,4200.0,345.172857143,4,intel-cpu-bx80662i76700k
10,64-bit,Yes,No,No,CPU,10 x 32KB Instruction<br/>10 x 32KB Data,10 x 256KB,1 x 25MB,/product/MJM323/intel-cpu-bx80671i76950x,14.0,Intel,3.5GHz,,,Intel Core i7-6950X 3.0GHz 10-Core Processor,3.0GHz,BX80671I76950X,"[1579.79, 1634.71, 1634.71, 1649.99, 1649.99, 1710.98]",LGA2011-3,140 Watts,140.0,3000.0,3500.0,1643.36166667,10,intel-cpu-bx80671i76950x
4,64-bit,No,Yes,Intel HD Graphics 4600,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 6MB,/product/MdBv6h/intel-cpu-bx80646i54430,22.0,Intel,,,Core i5-4430,Intel Core i5-4430 3.0GHz Quad-Core Processor,3.0GHz,BX80646I54430,"[193.29, 195.99, 195.99]",LGA1150,84 Watts,84.0,3000.0,0.0,195.09,4,intel-cpu-bx80646i54430
2,64-bit,No,No,No,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,1 x 6MB,None,/product/9kZQzy/intel-cpu-at80570pj0936m,45.0,Intel,,,Core 2 Duo E8600,Intel Core 2 Duo E8600 3.33GHz Dual-Core OEM/Tray Processor,3.33GHz,AT80570PJ0936M,[24.0],LGA775,65 Watts,65.0,3330.0,0.0,24.0,2,intel-cpu-at80570pj0936m
1,64-bit,No,No,No,CPU,1 x 64KB Instruction<br/>1 x 64KB Data,1 x 1MB,None,/product/8QjG3C/amd-cpu-sdx145hbk13gm,45.0,AMD,,,Sempron 145,AMD Sempron 145 2.8GHz Single-Core OEM/Tray Processor,2.8GHz,SDX145HBK13GM,[],AM3/AM2+,45 Watts,45.0,2800.0,0.0,0.0,1,amd-cpu-sdx145hbk13gm
2,64-bit,No,Yes,Radeon R5 (on die),CPU,1 x 96KB Instruction<br/>2 x 16KB Data,1 x 1MB,None,/product/Wr9KHx/amd-cpu-ad740kybjabox,28.0,AMD,3.9GHz,,A6-7400K,AMD A6-7400K 3.5GHz Dual-Core Processor,3.5GHz,AD740KYBJABOX,"[54.99, 55.35, 57.99, 61.99, 62.89]",FM2+,65 Watts,65.0,3500.0,3900.0,58.642,2,amd-cpu-ad740kybjabox
4,64-bit,No,Yes,Intel HD Graphics 4600,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 6MB,/product/CVjG3C/intel-cpu-bx80646i54670,22.0,Intel,,,Core i5-4670,Intel Core i5-4670 3.4GHz Quad-Core Processor,3.4GHz,BX80646I54670,"[221.65, 222.99]",LGA1150,84 Watts,84.0,3400.0,0.0,222.32,4,intel-cpu-bx80646i54670
10,64-bit,Yes,No,No,CPU,10 x 32KB Instruction<br/>10 x 32KB Data,10 x 256KB,1 x 25MB,/product/XNnG3C/intel-cpu-cm8064401723701,22.0,Intel,300MHz,,Xeon E5-2650 V3,Intel Xeon E5-2650 V3 2.3GHz 10-Core OEM/Tray Processor,2.3GHz,CM8064401723701,"[930.0, 939.99, 1240.19, 1240.19]",LGA2011-3,105 Watts,105.0,2300.0,300.0,1087.5925,10,intel-cpu-cm8064401723701
4,64-bit,Yes,No,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 10MB,/product/JqK7YJ/intel-cpu-cm8062101038606,32.0,Intel,3.8GHz,,Xeon E5-1620,Intel Xeon E5-1620 3.6GHz Quad-Core OEM/Tray Processor,3.6GHz,CM8062101038606,"[180.08, 230.1]",LGA2011,130 Watts,130.0,3600.0,3800.0,205.09,4,intel-cpu-cm8062101038606
2,64-bit,Yes,Yes,Intel HD Graphics,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 4MB,/product/2Jdqqs/intel-cpu-bx80616i3530,32.0,Intel,,,Core i3-530,Intel Core i3-530 2.93GHz Dual-Core Processor,2.93GHz,BX80616I3530,[],LGA1156,73 Watts,73.0,2930.0,0.0,0.0,2,intel-cpu-bx80616i3530
