Efficiency,Efficiency Certification,Fans,Kind,Link,Manufacturer,Model,Modular,Name,Output,PCI-Express 6+2-Pin Connectors,PCI-Express 6-Pin Connectors,PCI-Express 8-Pin Connectors,Part #,Prices,Type,Wattage,avg,short_link,power,eff_rank,ppw
&lt; 85%,80+ Bronze,1,Power Supply,/product/zNK7YJ/evga-power-supply-100b10500kr,EVGA,500B,No,EVGA 500W 80+ Bronze Certified ATX Power Supply,,2,,,100-B1-0500-KR,"[52.44, 42.69, 39.99, 39.99, 45.99, 49.99, 59.99]",ATX12V / EPS12V,500 Watts,47.2971428571,evga-power-supply-100b10500kr,500.0,2.0,0.0945942857143
&gt; 87%,80+ Bronze,1,Power Supply,/product/TgW9TW/seasonic-power-supply-m12ii520bronze,SeaSonic,,Full,SeaSonic 520W 80+ Bronze Certified Fully-Modular ATX Power Supply,,1,1,,M12II 520 Bronze,"[64.99, 64.99, 74.74, 74.74]",ATX12V / EPS12V,520 Watts,69.865,seasonic-power-supply-m12ii520bronze,520.0,2.0,0.134355769231
,80+ Bronze,1,Power Supply,/product/QD8H99/seasonic-power-supply-ssp350se,SeaSonic,,No,SeaSonic 350W 80+ Bronze Certified ATX Power Supply,"+3.3V@12A, +5V@16A, +12V@27A, -12V@0.3A, +5VSB@3.6A",,,,SSP-350SE,[31.99],ATX12V,350 Watts,31.99,seasonic-power-supply-ssp350se,350.0,2.0,0.0914
&gt; 70%,,1,Power Supply,/product/NHH323/cooler-master-power-supply-rs400psari3us,Cooler Master,,No,Cooler Master Elite Power 400W ATX Power Supply,"+3.3V@20A, +5V@16A, +12V1@16A, +12V2@16A, -12V@0.8A, 5VSB@2.5A",,1,,RS400-PSARI3-US,"[36.99, 53.99, 99.95]",ATX12V,400 Watts,63.6433333333,cooler-master-power-supply-rs400psari3us,400.0,,0.159108333333
Up to 88%,80+ Bronze,1,Power Supply,/product/jtckcf/cougar-power-supply-cougara500,Cougar,,No,Cougar 500W 80+ Bronze Certified ATX Power Supply,"+3.3V@24A, +5V@20A, +12V@38.5A, -12V@0.3A, +5Vsb@3A",2,,,CougarA500,[47.99],ATX,500 Watts,47.99,cougar-power-supply-cougara500,500.0,2.0,0.09598
&gt; 85%,80+ Bronze,135,Power Supply,/product/ZkxfrH/raidmax-power-supply-rx635ap,Raidmax,,Semi,Raidmax 635W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@20A, +5V@20A, +12V@45A, -12V@0.3A ,5VSB@2.5A",2,,,RX-635AP,[],ATX12V / EPS12V,635 Watts,0.0,raidmax-power-supply-rx635ap,635.0,2.0,0.0
,80+ Bronze,1,Power Supply,/product/QMjG3C/athena-power-power-supply-apmp4atx60fep8,Athena Power,APOLLO 600,No,Athena Power APOLLO 600 PLUS 600W 80+ Bronze Certified SFX Power Supply,"+5V@18A, -5V@, +12V1@8A, +12V2@8A, +12V3@8A, +12V4@8A, -12V@0.8A, +3.3V@18A, +5Vsb@3A",2,,,AP-MP4ATX60FEP8,[100.99],SFX12V,600 Watts,100.99,athena-power-power-supply-apmp4atx60fep8,600.0,2.0,0.168316666667
,,1,Power Supply,/product/CPqdnQ/rosewill-power-supply-rd4502sb,Rosewill,,No,Rosewill Stallion 450W ATX Power Supply,"+3.3V@22A, +5V@15A, +12V1@14A, +12V2@16A, -12V@0.3A, +5VSB@2.5A",,1,,RD450-2-SB,"[32.99, 34.99, 29.99]",ATX,450 Watts,32.6566666667,rosewill-power-supply-rd4502sb,450.0,,0.0725703703704
&lt; 90%,80+ Gold,1,Power Supply,/product/8wBv6h/ocz-power-supply-oczfty1000w,OCZ,,Semi,OCZ Fatal1ty 1000W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V@83A, -12V@0.8A, +5VSB@4A",6,,,OCZ-FTY1000W,"[169.99, 207.72, 249.89]",ATX12V / EPS12V,1000 Watts,209.2,ocz-power-supply-oczfty1000w,1000.0,4.0,0.2092
,80+ Platinum,1,Power Supply,/product/zG38TW/fsp-group-power-supply-pt850fm,FSP Group,,Full,FSP Group 850W 80+ Platinum Certified Fully-Modular ATX Power Supply,25A @ +3.3V DC&lt;br/&gt;25A @ +5V DC&lt;br/&gt;70A @ +12V DC&lt;br/&gt;0.8A @ -12V DC&lt;br/&gt;3.0A @ +5Vsb DC Standby,8,,,PT850FM,"[164.99, 189.99]",ATX12V / EPS12V,850 Watts,177.49,fsp-group-power-supply-pt850fm,850.0,5.0,0.208811764706
up to 78%,,1,Power Supply,/product/gPs8TW/raidmax-power-supply-rx300xt,Raidmax,,No,Raidmax XT 300W ATX Power Supply,"+3.3V@14A, +5V@15A, +12V1@21A, -12V@0.5A ,5VSB@2.5A",,,,RX-300XT,[24.99],ATX12V / EPS12V,300 Watts,24.99,raidmax-power-supply-rx300xt,300.0,,0.0833
