Alarm,Backup/Run Time (Full Load),Backup/Run Time (Half Load),Battery Chemistry,Battery Life,Dataline Protection,Emergency Power OFF,Form Factor,Hot Swappable,Input Voltage,Kind,Link,Load Capacity (VA),Load Capacity (W),Manufacturer,Maximum Battery Recharge Time,Name,Output Voltage,Part #,Prices,Protection Type,Rack Height,Receptacles,Serial Port,Switching Time,USB,Waveform Type,avg,short_link,load_cap_w,load_cap_va,max_batt_recharge_time,full_load,half_load
,4 Minutes,,,,,,Tower,,208 V AC,UPS,/product/w4Crxr/apc-ups-srt10kxlt,10000 VA,10000 W,APC,1.50 Hour,APC SRT10KXLT UPS,208 V AC,SRT10KXLT,"[6382.51, 6434.99, 6469.99]",,,1 x Hard Wire 3-wire (2PH + G)<br/>4 x NEMA L6-20R<br/>2 x NEMA L6-30R,,,,,6429.16333333,apc-ups-srt10kxlt,10000.0,10000.0,1.5,4.0,0.0
Battery Failure,3 Minutes,12 Minutes,Sealed Lead Acid,,,Yes,Rack-mountable,Yes,,UPS,/product/CRGj4D/apc-ups-srt10krmxli,10000 VA,10000 W,APC,1.50 Hour,APC SRT10KRMXLI UPS,230 V AC,SRT10KRMXLI,"[5959.37, 6105.89, 6569.99]",Surge<br/>Spike<br/>Lightning,6U,,,,Yes,Sine Wave,6211.75,apc-ups-srt10krmxli,10000.0,10000.0,1.5,3.0,12.0
On Battery<br/>Utility Power Failure,3.50 Minutes,11.50 Minutes,Sealed Lead Acid,6 Year,RJ-45,,Tower,,110 V AC,UPS,/product/nWX2FT/tripp-lite-ups-omnivs800,800 VA,475 W,Tripp Lite,4 Hour,Tripp Lite OMNIVS800 UPS,120 V AC,OMNIVS800,"[89.99, 110.93, 126.98, 127.99, 129.99, 119.99]",,,6 x NEMA 5-15R<br/>1 x NEMA 5-15R,,,Yes,Pulse-width Modulated Sine Wave,117.645,tripp-lite-ups-omnivs800,475.0,800.0,4.0,3.5,11.5
,4 Minutes,11 Minutes,,,RJ-45,Yes,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/MJVBD3/tripp-lite-ups-su750rtxl2u,750 VA,600 W,Tripp Lite,6 Hour,Tripp Lite SU750RTXL2U UPS,120 V AC,SU750RTXL2U,"[429.99, 429.99, 468.3, 469.99, 479.99]",,2U,6 x NEMA 5-15R,Yes,0 ns,Yes,,455.652,tripp-lite-ups-su750rtxl2u,600.0,750.0,6.0,4.0,11.0
UPS StartUp<br/>Power Failure<br/>Low Battery<br/>Overload<br/>UPS Fault<br/>Remote Shutdown,3 Minutes,10 Minutes,,,,Yes,Rack-mountable<br/>Tower/Rack Mountable,Yes,120 V AC,UPS,/product/tRGj4D/tripp-lite-ups-sm3000rmxlntaa,3000 VA,2880 W,Tripp Lite,5 Hour,Tripp Lite SM3000RMXLNTAA UPS,120 V AC,SM3000RMXLNTAA,[1466.74],EMI<br/>RFI<br/>Brownout<br/>Black Out<br/>Surge<br/>Over Voltage<br/>Under Voltage,2U,8 x NEMA 5-15/20R<br/>1 x NEMA L5-30R,Yes,,Yes,Pure Sine Wave,1466.74,tripp-lite-ups-sm3000rmxlntaa,2880.0,3000.0,5.0,3.0,10.0
On Battery<br/>Low Battery,5.40 Minutes,14.50 Minutes,Sealed Lead Acid,,,,,Yes,110 V AC,UPS,/product/VRGj4D/apc-ups-sua1000rm1u,1000 VA,640 W,APC,2 Hour,APC SUA1000RM1U UPS,120 V AC,SUA1000RM1U,"[514.03, 606.95, 620.99, 620.99, 649.99, 681.99]",,1U,4 x NEMA 5-15R,Yes,,Yes,Sine Wave,615.823333333,apc-ups-sua1000rm1u,640.0,1000.0,2.0,5.4,14.5
On Battery<br/>Low Battery<br/>Overload,10.20 Minutes,24.40 Minutes,Sealed Lead Acid,,,Optional,Tower,Yes,220 V AC,UPS,/product/6tJkcf/apc-ups-surt1000xli,1000 VA,700 W,APC,3 Hour,APC SURT1000XLI UPS,230 V AC,SURT1000XLI,"[757.12, 974.49]",,,6 x IEC 320-C13<br/>2,Yes,0,,Sine Wave,865.805,apc-ups-surt1000xli,700.0,1000.0,3.0,10.2,24.4
On Battery<br/>Low Battery<br/>Overload,8.60 Minutes,22.20 Minutes,Sealed Lead Acid,,,Yes,Tower,Yes,110 V AC,UPS,/product/ZTH48d/apc-ups-surta1500xl,1500 VA,1050 W,APC,,APC SURTA1500XL UPS,120 V AC,SURTA1500XL,"[799.95, 850.99, 799.99, 898.99, 898.99, 905.99, 978.55, 1024.99]",,,6 x NEMA 5-15R,Yes,,Yes,Sine Wave,894.805,apc-ups-surta1500xl,1050.0,1500.0,0.0,8.6,22.2
,8.60 Minutes,22.20 Minutes,Sealed Lead Acid,,,Yes,Tower/Rack Mountable,,110 V AC,UPS,/product/YFdFf7/apc-ups-surta1500rmxl2u,1500 VA,1050 W,APC,3 Hour,APC SURTA1500RMXL2U UPS,120 V AC,SURTA1500RMXL2U,"[968.99, 1059.98, 1067.99, 1067.99, 1089.99, 1149.99, 1131.99]",,2U,6 x NEMA 5-15R,,,Yes,,1076.70285714,apc-ups-surta1500rmxl2u,1050.0,1500.0,3.0,8.6,22.2
On Battery<br/>Low Battery<br/>Overload,14.10 Minutes,33.90 Minutes,Sealed Lead Acid,,,Yes,Tower,Yes,110 V AC,UPS,/product/w2RFf7/apc-ups-surta3000xl,3000 VA,2100 W,APC,,APC SURTA3000XL UPS,120 V AC,SURTA3000XL,"[1948.0, 2095.0, 2199.99, 2269.99]",,,6 x NEMA 5-15R<br/>2 x NEMA 5-20R,Yes,,,Sine Wave,2128.245,apc-ups-surta3000xl,2100.0,3000.0,0.0,14.1,33.9
,3 Minutes,11 Minutes,Sealed Lead Acid,,,Yes,Tower,Yes,110 V AC,UPS,/product/K9Wrxr/apc-ups-surta2200xl,2200 VA,1750 W,APC,3 Hour,APC SURTA2200XL UPS,120 V AC,SURTA2200XL,"[1100.99, 1131.99, 1150.49, 1091.99]",,,6 x NEMA 5-15R,Yes,,Yes,,1118.865,apc-ups-surta2200xl,1750.0,2200.0,3.0,3.0,11.0
,5 Minutes,14 Minutes,Lead Acid,,,Yes,Tower/Rack Mountable,,,UPS,/product/nRGj4D/apc-ups-smx1500rmi2u,1500 VA,1200 W,APC,,APC SMX1500RMI2U UPS,230 V AC,SMX1500RMI2U,"[899.95, 1010.31]",,2U,,,,Yes,,955.13,apc-ups-smx1500rmi2u,1200.0,1500.0,0.0,5.0,14.0
,,,,,,,,,,UPS,/product/RVcMnQ/apc-ups-bx600ciin,600 VA,360 W,APC,,APC BX600CI-IN UPS,,BX600CI-IN,[],,,,,,,,0.0,apc-ups-bx600ciin,360.0,600.0,0.0,0.0,0.0
,6 Minutes,,Lead Acid,,,Yes,Tower/Rack Mountable,Yes,,UPS,/product/Lm8H99/apc-ups-smx1500rmi2unc,1500 VA,1200 W,APC,3 Hour,APC SMX1500RMI2UNC UPS,230 V AC,SMX1500RMI2UNC,"[1003.98, 1005.99, 1016.95, 1049.99]",,2U,,Yes,,Yes,,1019.2275,apc-ups-smx1500rmi2unc,1200.0,1500.0,3.0,6.0,0.0
Battery Failure,4 Minutes,12 Minutes,Sealed Lead Acid,,,Yes,Tower,Yes,,UPS,/product/s3FXsY/apc-ups-srt5kxli,5000 VA,4500 W,APC,3 Hour,APC SRT5KXLI UPS,230 V AC,SRT5KXLI,[],Surge<br/>Spike<br/>Lightning,,,,,Yes,Sine Wave,0.0,apc-ups-srt5kxli,4500.0,5000.0,3.0,4.0,12.0
,5 Minutes,,,,,,Rack-mountable,,208 V AC,UPS,/product/Hm8H99/apc-ups-srt8krmxlt,8000 VA,8000 W,APC,1.50 Hour,APC SRT8KRMXLT UPS,208 V AC,SRT8KRMXLT,"[5103.16, 5499.99, 5749.99]",,6U,1 x Hard Wire 3-wire (2PH + G)<br/>4 x NEMA L6-20R<br/>2 x NEMA L6-30R,,,,,5451.04666667,apc-ups-srt8krmxlt,8000.0,8000.0,1.5,5.0,0.0
