Color,Dimensions,"External 2.5"" Bays","External 3.5"" Bays","External 5.25"" Bays","External 5.25"" Slim Bays","External 5.25"" Slim Slot Load Bays",Front Panel USB 3.0 Ports,Includes Power Supply,"Internal 2.5"" Bays","Internal 3.5"" Bays","Internal 5.25"" Bays","Internal 5.25"" Slim Slot Load Bays",Kind,Link,Manufacturer,Maximum Video Card Length,Model,Motherboard Compatibility,Name,Part #,Prices,Type,link,dim,vol,avg,short_link
Black/Blue,"16.93"" x 7.64"" x 17.17""",,,2,,,Yes,No,,4,,,Case,/product/3MPfrH/deepcool-case-tesseractsw,Deepcool,"12.20""",,"ATX, Micro ATX, Mini ITX",Deepcool TESSERACT SW ATX Mid Tower Case,TESSERACT SW,"[38.99, 41.99, 40.99, 46.43, 69.91]",ATX Mid Tower,deepcool-case-tesseractsw,"[16.93, 7.64, 17.17]",2220.857084,47.662,deepcool-case-tesseractsw
Black,"13.46"" x 27.68"" x 26.06""",,,3,,,Yes,No,,13,,,Case,/product/NBK7YJ/cooler-master-case-rc1200kkn1,Cooler Master,"15.16""",Cosmos II (Black),"ATX, EATX, Micro ATX, Mini ITX, SSI CEB, SSI EEB, XL ATX",Cooler Master Cosmos II (Black) ATX Full Tower Case,RC-1200-KKN1,"[309.99, 316.99, 309.99, 349.99]",ATX Full Tower,cooler-master-case-rc1200kkn1,"[13.46, 27.68, 26.06]",9709.247168,321.74,cooler-master-case-rc1200kkn1
Black/Orange,,,,,,,Yes,No,3,2,,,Case,/product/r2VBD3/diypc-case-diyf2o,DIYPC,"12.40""",,"Micro ATX, Mini ITX",DIYPC DIY-F2-O ATX Mini Tower Case,DIY-F2-O,[34.99],ATX Mini Tower,diypc-case-diyf2o,,0.0,34.99,diypc-case-diyf2o
Black,"14.53"" x 5.47"" x 12.99""",,1,2,,,No,250 Watts,,3,,,Case,/product/hfBv6h/apex-case-mj16,Apex,,,"Micro ATX, Mini ITX, Thin Mini ITX",Apex MJ-16 MicroATX Mini Tower Case w/250W Power Supply,MJ-16,"[39.99, 47.57, 49.98, 52.6, 75.99]",MicroATX Mini Tower,apex-case-mj16,"[14.53, 5.47, 12.99]",1032.433509,53.226,apex-case-mj16
Black,,,,2,,,Yes,No,2,3,,,Case,/product/7d648d/silverstone-case-sstps11bw,Silverstone,"16.18""",PS11B-W,"ATX, Micro ATX",Silverstone PS11B-W ATX Mid Tower Case,SST-PS11B-W<br/>(or) PS11B-W,[59.99],ATX Mid Tower,silverstone-case-sstps11bw,,0.0,59.99,silverstone-case-sstps11bw
Black/Blue,,,,9,,,Yes,No,,,,,Case,/product/F2qdnQ/sharkoon-case-4044951012657,SHARKOON,"11.81""",T9 Value,"ATX, Micro ATX, Mini ITX",SHARKOON T9 Value MicroATX Mid Tower Case,4044951012657,[],MicroATX Mid Tower,sharkoon-case-4044951012657,,0.0,0.0,sharkoon-case-4044951012657
Black,"8.19"" x 18.07"" x 19.17""",,,3,,,Yes,No,1,3,,,Case,/product/yMzv6h/lian-li-case-pc9nb,Lian-Li,"16.93""",,"ATX, Micro ATX, Mini ITX",Lian-Li PC-9NB ATX Mid Tower Case,PC-9NB,[104.99],ATX Mid Tower,lian-li-case-pc9nb,"[8.19, 18.07, 19.17]",2837.031561,104.99,lian-li-case-pc9nb
Black,"8.62"" x 18.90"" x 20.51""",,,4,,,Yes,No,,,,,Case,/product/3KyFf7/silverstone-case-ps10b,Silverstone,"11.50""",,"ATX, Micro ATX, Mini ITX",Silverstone PS10B ATX Mid Tower Case,PS10B<br/>(or) SST-PS10B,"[46.99, 77.69, 105.41]",ATX Mid Tower,silverstone-case-ps10b,"[8.62, 18.90, 20.51]",3341.44818,76.6966666667,silverstone-case-ps10b
Black,,,,1,,,Yes,400 Watts,,,,,Case,/product/WQqbt6/aerocool-case-en54401,Aerocool,"9.45""",QS-102 Slim,"Micro ATX, Mini ITX",Aerocool QS-102 Slim HTPC Case w/400W Power Supply,EN54401,[50.0],HTPC,aerocool-case-en54401,,0.0,50.0,aerocool-case-en54401
White/Blue,"17.72"" x 8.11"" x 18.50""",,,,,,Yes,No,2,2,,,Case,/product/qjGj4D/nox-nxhummermcw-atx-mid-tower-case-nxhummermcw,NOX,"14.96""",Hummer MC Zero Edition,"ATX, Micro ATX, Mini ITX",NOX Hummer MC Zero Edition ATX Mid Tower Case,NXHUMMERMCW,[],ATX Mid Tower,nox-nxhummermcw-atx-mid-tower-case-nxhummermcw,"[17.72, 8.11, 18.50]",2658.6202,0.0,nox-nxhummermcw-atx-mid-tower-case-nxhummermcw
