Comments,Stars,Type
"A large piece but still gets the job done, and done well.  Only reason for the 4-star review is due to its size.  Almost thought it wouldn't fit in my case. ",4,CPU_cooler
Easy install great CPU cooling ,5,CPU_cooler
I got the refurbished from  ,5,CPU_cooler
"Instructions were clear, quality components, everything fit perfect.  ",5,CPU_cooler
"I gotta admit I'm kinda new to all this PC building and now I can really tell this was not necessary, but I did hear that these aftermarket CPU coolers are SUPER quiet compared to stock, so I'll give it that! CPU on idle about 18-22, on load about 45-48. ",5,CPU_cooler
Decent cooler for the price. Performs better than stock while making less noise. I think this should be considered the stock cooler IMO.  ,4,CPU_cooler
"Works, easy install, not too big and didn't block my ram. ",5,CPU_cooler
Great liquid cooler but its no dual core radiator. Single core packs a punch for what it offers. I am running a 4790k with a 4.6 overclock and it runs from 25 idle to 70-72 on full load.  ,5,CPU_cooler
"Easy to put together, silent, and it works perfectly for cooling down my i5-4690K. ",5,CPU_cooler
"Another bang for your buck, easily beats any corsair and other competing brands not just in cost but also in performance. £67 for a 38.5mm thick rad, and three fans. Keeps my cpu 20-25 idle and max of 45-55'c in games ",5,CPU_cooler
I’ve had Noctua case fans from the start of this build. With that the CPU cooler was noticeably noisy when trying to game quietly. I decided to acquire another Noctua fan for the CPU when I upgraded it. This thing is almost silent. ,5,CPU_cooler
"Very quiet most of the times but a mild roar at load, for those trans-coding video overnight in their bedroom, it's too loud. The LED lights are cool however and it's cheap. As to how well this would cool an overclocked i5 and i7, there are reviews out there, but I don't have any personal experience  ",4,CPU_cooler
"This is an aggressively priced 240mm AIO CPU cooler. As of right now you can pick one up for about $80. It comes with 4 fans intended for push-pull config, the ARCTIC F12 PWMs, which can be daisy-chained so they only require a single 4-pin fan socket. I knocked off one star because anywhere above 40% RPM and they're louder than I would have preferred. Not jet-engine loud, just noticeable. They're still quieter than the GPU when it revs up, and at 20% they're practically inaudible in the average home. I've seen a couple of review sites knock it for it's minimal packaging; this is actually intentional. ARCTIC is a carbon-neutral company and part of that was strategically reducing excessive packaging. Just wanted to clarify this because I think it's an ignorant complaint. ",4,CPU_cooler
"A topflow cpu cooler is mandatory if air cooling in SG13.
I wanted a really low profile one to keep an optimum clearance with the PSU which be positionned above. Plus the fan on this cooler can be flipped to send the hot air right in the PSU (if reversed) allowing a configuration where the hot air would be exhausted by the PSU.
Air cooling in SG13 is the challenge here and the AR05 meets the expectations, keeping my i3 6100 on very good temps but also very quietly! Perfect in my configuration. ",5,CPU_cooler
if you are on a tight budget I would say just get a EVO and get it over with. ,4,CPU_cooler
Excellent cooler. Using it on the Xeon E5-2690 V4 and it runs very cool at low RPMs. ,5,CPU_cooler
Keeps my CPU nice and cool in mid-30 C's. ,5,CPU_cooler
"Keeps my c2d at decent temps, could be cooler, could be WAY more silent, but overall, pretty decent for the price. ",3,CPU_cooler
"It's very quiet and performs extremely well. It beats out single 120mm radiators in benchmarks. For the looks, I think any Noctua product brings premium look to your computer and as I don't have window in my case I don't really care what it looks like. Only downside is that with my motherboard, the cooler blocks the first PCI-e slot, but as I have 2 of them so it's not really a big deal. There is a list on Noctuas website where they will tell if your motherboard has any problems with the cooler.  ",5,CPU_cooler
My first aftermarket CPU cooler and its a beast! Keeps my OC Phenom II cool! Plus the fans aren't even maxed haha! Fan speed is around 30/40%. ,5,CPU_cooler
"I couldn't get the famous 212 EVO and it took me a while to settle on alternative. So far I am impressed. While Scythe Mugen 4 won't break any records in idle temps (low-mid 30s, but ambient is pretty high here), under load it performs great. The CPU never passed 60C while running prime95 and in its 40s under  normal every day load including gaming. ",5,CPU_cooler
"Keeps my i5 4690k Cool while playing Assassin's Creed Unity at Ultra settings, and while rendering videos and the like.  Max CPu temp hits 75 or 77 but that is really overloaded.  Normal use is fine at 50-60. Fits nicely in my Mini ITX.
See my build video log here
 ",4,CPU_cooler
"Too big, can't fit GPU at first PCIe on a ATX motherboard. Won't be able to SLI with this cooler. ",3,CPU_cooler
"Nice looking cooler, the fan on top of the CPU assembly looks terrific and as I mentioned before in the CPU section, It does the job with a temperature span of 25 Deg at Idle and around 60 Deg during 100% usage.  One thing, the radiator is way too thick compared to the other AIO coolers in the market, so If you want your radiator to go on the top of your build make sure you have enough room for it and that it does not interfere with the rams, mine does, and that is why it is installed in front, sacrificing all of my 3.5in drive bays. ",4,CPU_cooler
Excellent! Will never use another brand CPU cooler for a high end air solution! Small but powerful! ,5,CPU_cooler
This cooler is super quiet.   Haven't gotten into OCing anything yet.   But so far very good.   ,5,CPU_cooler
I mostly bought this based on looks but I was very surprised at how well it performs. I was only able to fit one fan for a pull config but it still keeps temps much cooler than my other cooler master 120v AIO ,5,CPU_cooler
"Great starter for a heat sink, but eventually it make some noises.  ",3,CPU_cooler
"Awesome CPU cooler! Keeps the CPU cool and the new pump looks great. Idle CPU temp
22'c - 25'c  Load temps 44'c - 50'c  Stable 4.6 ghtz overclock. ",5,CPU_cooler
"Fans aren't the quietest but its def good value and looks good.
ONLY WISH SOMEONE SAID IT HAS A PULSING LED?  Annoying - I wish it was on constantly. also beware of the height of the heatsink as the ""visual"" tube hit the fans on my ITX case until I got a new mobo and could install on a different rotation. ",4,CPU_cooler
"A great low profile CPU cooler for builds with tight spaces, I'm not 100% sure the orange LED fan I added will be up to the challenge of the really small fins on it but I'll test to be sure :)  In the second to last photo I show the brackets going left-right, I hit the wifi module when I tried to place this so ended up going up/down instead.  ",5,CPU_cooler
"Pretty cheap, works well, and I'm having no issues with my 4690k at 4.2 GHz ",5,CPU_cooler
"Incredible AIO cooler. Very good build quality, easy to mount, good quality fans, great performance. The radiator is thicker than most AIO coolers (45mm). This won't be a problem in most cases, but if you are tight on space realize that you may not be able to mount both fans in push-pull. The pump is silent and the fans run very quietly, even at full load. Be careful when mounting if only using one fan. The length of the screws means that you can't attach the radiator directly to your case without pushing your screws entirely through the radiator. There is nothing stopping you from doing so and the fins are thin enough that you won't notice while screwing it in. If you would like to attach it directly you will need to purchase much shorter screws or accept the (hopefully minimal) performance impact of screwing right through the radiator. The only change I would make is adding a copper radiator as opposed to aluminum. Some users might also hope for heat pipes that bend where they connect to the CPU block (in the same way as most Corsair and Cooler Master products), but their softness seems to make up for it and they had no trouble squeezing into my case (though I am using an SFX power supply). In the Sugo SG13 I'm using one fan pulling air from the front of the case and pushing it through the radiator into the CPU area. Was worried that using only one fan would hurt performance, but it doesn't seem to have affected the heat much. ",5,CPU_cooler
"Included fan is high quality and nearly silent at low RPMs, keeps an 80W chip cool without making lots of noise.  Great value if you can find one for $40 or less shipped. ",5,CPU_cooler
"Great CPU cooler. Very big, despite the name ""slim"". ",4,CPU_cooler
"Ah the classic Hyper 212 Evo, now with red LEDS! 'Nuff said. ",5,CPU_cooler
Thanks to the be quiet! Silent Loop 280 my CPU stays at 30°C idle and 70°C during max heat test in prime 95. Fans and pump speed are set manually to turn max speed at 70°C. It's quiet AF while gaming. The pump runs at 60% speed all the time - dead silent. ,5,CPU_cooler
"Noctua is known worldwide as the go-to brand for their quality quiet fans, and they do not disappoint with these coolers. The coolers are as compact as you would want for a vertical tower cooler, however, they run silent and perform excellently.  ",5,CPU_cooler
"This AIO is easy to put together, performs well, is not too big and comes in a variety of colors. ",4,CPU_cooler
The Deepcool GAMMAXX 300 was listed in the other system build but never arrived from Newegg. They refunded it and I was able to get that computer cooler through other means. I did order it for this system because I was curious about its performance and it didn't disappoint. The 400 would have kept it cooler but apparently wouldn't have fit in the case. This cooler is a tad loud when the CPU gets hotter but I rarely notice since I'm usually in game. ,4,CPU_cooler
"It's ok. Nice and quiet, and decent build quality. Cooling performance will always be limited at this size/ff. Does well for itself but should be a little cheaper imo. ",3,CPU_cooler
"Another old part, I've had this on my the i5 for its entire life. I can't compare its performance to anything else, but I assume it's pretty average. in this new case the CPU idles around the mid 30's and operates around 50 degrees on a gaming load. Good enough. It has been running for almost four years now, and the only downside is that the pump can sometimes be a bit noisy. ",4,CPU_cooler
"Does its job well enough.  I didn't bother replacing the pre-applied thermal paste with anything better because I was lazy.  Doesn't seem to be hurting it (yet?), though.  I paid about double what it costs on Amazon because I was certain that it was discontinued, with it being out of stock everywhere online in North America that I could find at the time I ordered it, so I ordered one on eBay that shipped from Germany.  Then it showed up back in stock on Amazon in mid-December and I kicked myself.  I still say it's worth it compared to the stock cooler, though. ",5,CPU_cooler
"Even though I already knew how to install it, the installation instructions were terrible. The software was terrible. I could not even change the colour of the pump LED. Luckily, NZXT had just posted a beta of their next software to  And, the pump is already making noises. I can hear it grinding from across the room in bed. ",2,CPU_cooler
"Annoying installation, Great silent cooling ",4,CPU_cooler
the only compatible air cooler. this is more silent than silence itself ,5,CPU_cooler
"Cons? Can't find many, it is my first ever AIO watercooler and I am really satisfied with it. Previously I have used only Noctua coolers so I think it says it's a good quality product. ",5,CPU_cooler
No complaints so far. Does its job well and keeps my CPU temperature around 30-35 C at idle and I have not seen It get hotter than 70 under heavy load while overclocked.  ,5,CPU_cooler
