Comments,Stars,Type
"This is the best budget harddrive you can buy, there is no other choice in my opinion. ",5,HD
"Large amount of storage is nice, but this is very loud. ",3,HD
"Consistent Read & Write Speeds, but do not use this as a OS drive! ",3,HD
Amazing! ,5,HD
Salvaged from an office PC being junked. ,1,HD
"Had this for a few years, not much to say about it. no issues. ",4,HD
Pretty Slow drive. runs very cool though ,2,HD
Fastest SSD available right now.  ,5,HD
"Has lasted a long time without any issues at all, only complaint is that it is quite audible during long write times. ",5,HD
"Its a HDD, good enough for games and big trash data. ",4,HD
Great for storing my steam library ,5,HD
Currently using this hard drive for dual boot Hackintosh. I may swap it out for an SSD. ,3,HD
"Horribly slow, Found one of these in my basement though so Can't REALLY complain ",1,HD
An older OCZ-branded SSD - performance isn't as great as it used to be after a few years of use but is now perfectly happy running the occasional VM. ,4,HD
"My first SSD. Originally just had my OS, now it's dedicated to HDD caching. A bit slow for an SSD.... ",4,HD
"Faster than my brother during sex, this is an exceptional SSD for most purposes; fast, durable, and fairly affordable; I use it as a boot drive with the occasional game on it. ",5,HD
"First SSD used, definitely worth the buck for the performance delivered. ",4,HD
"Got it for free, a bit slow on startup, but it hasn't failed from years of use in multiple computers. ",5,HD
"Very impressed. The extra cache really helps, and files up to @4TB transfer almost instantaneously, before normal speed of @ 180MB/s resumes. A little bit pricier than a regular 4TB hard drive, but well worth it IMO. I foresee ordering more down the line.  ",5,HD
"Great speed, boots in < 5seconds. ",5,HD
Don't really know what to say about it but the boot speed is about 10-15 second restart and cold restart is about 20-25 second restart. Also Windows is annoying and only allows a maximum 2 tb hardrive but the nice guys at Seagate make it easy to split the unallocated space into a second drive ,5,HD
"M.2 drive I had planned on getting an 850 EVO, but when I saw a comparison between NVMe, M.2 and SSD I knew I wanted more. After nearly having a heart attack seeing the NVMe prices I settled for a much more reasonable M.2. Very happy so far!!  ",5,HD
"Have the Toshiba OEM version of this drive, got it for $180 off Ebay. Make sure you do a fresh install of Windows and feed the AHCI/NVMe drivers to the install. Fast as hell, takes up no room in the case!!! ",5,HD
"Hasn't failed after a few months, so that's good. No clicks or anything.  ",5,HD
We use Seagate Constellation drives in all of our servers and I use them in any build I do for work. They are extremely reliable and definitely worth the little bit of extra cost up front! ,5,HD
"Great and affordable SSD, good for holding windows and essentials applications  ",5,HD
"2tb WD Green i got/steal/borrowed/sneak into/ temporarily placed from my bro, thanks big bro ",3,HD
"Works well, not too many issues yet.  Mostly use it for date storage ",4,HD
"Seagate gets bad rep for failing drives but this one has been going for at least 5 years, it's from a dead laptop ",5,HD
"This hard drive has been abused since the day I got it and it still runs perfectly. Silent and fast. Not SSD fast, but it is a great HDD. Can't go wrong with buying this HDD ",5,HD
"This was a pricey piece of hardware, it will mostly be used for video game installs and photoshop/premiere work.  ",5,HD
"Bought sandisk extreme pro 480 Gb ssd on sale $220, but does not seem as quick as a 128gb toshiba pro ssd. But, numerous power losses with no data corruption, combined with 10 year warranty makes me happy. ",5,HD
it is fast and has done anything to my data ,5,HD
"Between my husband and I we've had five of these and only one had died in 8 years. Not bad at all.
This one is sharing a 60GB cache SSD ",5,HD
"I was going to get a 2TB WD Black. But for the same price I saw a 4TB Toshiba. I understand the quality is a bit different, but twice the hard drive space on a drive that's whole purpose is to have a lot of space seems like a no-brainer kind of deal. Picked this guy up at Micro-Center. ",4,HD
"Accidentally dropped it from my 70cm tall table and it still works, good job seagate. ",5,HD
Fast HDDs are sort of outdated with the advent of SSDs. These are fun to have for the cool factor and do perform better than any other HDD I've ever owned. They're fairly loud and distracting. ,4,HD
"Even cheaper, the OCZ 150 seemed like a better quality SSD.  This one just has the circuit board sticking out an opening for your SATA cables to attach to.  so it doesn't have the clips or anything to help them stay attached. also, Newegg exclusive.  I haven't needed it but I heard there isn't much support for this SSD. ",4,HD
Fast ssd. Never had one before but I'm glad I got one. Boot time is 12 second from a cold startup. But for 15 buck more you can have an 850 evo which is faster. ,4,HD
"Bought it some time ago. Largest at that time (and I think at the moment, too) 2.5"" 9mm HDD . Was looking for a laptop. Works as expected, although sometimes emitting high pitched sound (I would say mechanical/electronical, not really like a warning beep). Performance is ok, no problems with corruption or lock ups, so I didn't care that much. ",5,HD
"Its not the fastest drive, but its cheap so I got it. ",4,HD
Simple HDD. Deff faster than the Sata 2 :P ,5,HD
Always liked the Barracuda storage. ,3,HD
"Fantastic SSD! Solid performer, very fast and looks great as well. Very cheap in comparison to the other high end SSDs. ",5,HD
"I'm very pleased with this SSD. Windows boots up incredibly fast, and since I have my games on it as well,  I can connect to games faster than my friends. ",5,HD
Not the fastest hard drive but gets the job done and for 40 bucks its a good deal. ,4,HD
4 Stars for being 3Gb/s but otherwise a nice little TB container. ,4,HD
"Bigger Storage, was on sale on Amazon. awesome price for size ",5,HD
"It's nice to have this thing as a boot drive. I initially installed Windows w/o updating the NVMe protocol in BIOS, so I wasn't getting the screaming fast read/ write speeds as advertised. Updated the BIOS, reset Windows and bam! Who has time for load screens amirite? ",5,HD
this SSD holds my windows 7 OS (free for being IT major).  boots up really fast compared to my dad's dell laptop which has an HDD inside.   ,5,HD
"Let's be honest. Very rarely do you open up a PC product that isn't a graphics card or motherboard and have your jaw drop from beauty.  This must be without a doubt the most awesome looking 2.5 inch SSD on the market, beating out the Intel 730 Series quite handily. It features a red matte front face with black accent siding, and the HyperX logo in very nicely done rough single grain textured aluminum. I took a close up picture for the build, so you can see how it looks. It feels rough to the touch, and is very, very shiny.  Sequential read and sequential write are off the charts, tying the Samsung 850 Pro, thanks to the terrific Phison S10 controller.  Random read is great, but random write is mediocre (which is okay, as most users don't use that often) This drive beats out most of the offerings on the market, only being edged out in price performance by the Samsung 850 Evo. If you're not planning on showing off your drive, get the 850 Evo, but if you have a case that shows it off.... definitely buy this.  ",5,HD
"Funny story here. This is the HDD that came out of my laptop when I upgraded that to an SSD (Samsung 850 EVO 250GB) and has been my mass storage ever since. It seemed to be failing in the laptop, but after a zeroing it on a mac, seems to be running fine. Of course, I won't be keeping vital data on it, but it works as video and mass media storage.  ",1,HD
"Like a midget gigolo... cheap, fast, small, and looks good! ",5,HD
I use this as a dedicated scratch disk.  It's awesome and cheap.  Get it. ,5,HD
For what it is I am happy with the drive. It performs fine for it's specs. As it was rescued from another bit of tech I am happy. ,5,HD
Old drive from original PC and still kicking. WD has won my favor. ,4,HD
Great for games ,5,HD
The very first SSD I placed inside my build. Even though it's not my main SSD anymore I still continue to use it behind the two Samsung Pro's ,5,HD
The one I actually I got at Micro Center cost me $55 seems to be working . ,4,HD
"I like that the sticker was not cheap and therefor easy to pull off, while there is no sticker on the picture on this website there was one on it but it was shown on new egg, where I bought it. The SSD has had no problems so far it is fast but could always be faster but for its price and size it is really good. ",4,HD
"Does everything I expected from a reasonably priced SSD, I bought this around Christmas 2013. ",5,HD
"Reasonably fast large storage for a reasonable cost, what more can you want? ",4,HD
"This is an old, slow drive. I really only put it in here because it wasn't doing anything else. ",3,HD
"This series of SSDs is pretty much the only option for U.2 out there.  It's remarkably quick though, being capable of more than 4x read / 2x write speeds compared to SATA III.  Came with the appropriate cable, though you'll still need to attach on a SATA power lead. ",5,HD
