Bearing Type,Fan RPM,Height,Kind,Link,Liquid Cooled,Manufacturer,Model,Name,Noise Level,Part #,Prices,Radiator Size,Supported Sockets,avg,short_link,noise_level,max_noise,min_noise,rpm,rpm_min,rpm_max,liquid,rad_size,bearing_type,cooler_height
Sleeve,600 - 2000 RPM,"6.26"" (159mm)",CPU Cooler,/product/hmtCmG/cooler-master-cpu-cooler-rr212e20pkr2,No,Cooler Master,Hyper 212 EVO,Cooler Master Hyper 212 EVO 82.9 CFM Sleeve Bearing CPU Cooler,9.0 - 36.0 dbA,RR-212E-20PK-R2<br/>(or) RR-212E-16PK-R1,"[37.88, 29.99, 29.99, 34.99, 34.99, 33.99, 34.99]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",33.8314285714,cooler-master-cpu-cooler-rr212e20pkr2,9.0 - 36.0 ,36.0,9.0,600 - 2000 ,600.0,2000.0,No,0.0,Sleeve,159.0
,2000 RPM,,CPU Cooler,/product/RH2rxr/corsair-cpu-cooler-cw9060027ww,Yes,Corsair,H115i,Corsair H115i 104.7 CFM Liquid CPU Cooler,40.0 dbA,CW-9060027-WW<br/>(or) H115i,"[110.04, 119.89, 119.89, 110.04, 124.89, 149.99, 172.99]",280mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3",129.675714286,corsair-cpu-cooler-cw9060027ww,40.0 ,40.0 ,40.0,2000 ,2000.0,2000.0,Yes,280.0,,0.0
,2600 RPM,"1.85"" (47mm)",CPU Cooler,/product/Gw2kcf/cooler-master-cpu-cooler-dp69edsa0lgp,No,Cooler Master,,Cooler Master DP6-9EDSA-0L-GP CPU Cooler,24.5 dbA,DP6-9EDSA-0L-GP,"[7.99, 15.22, 15.41, 15.45]",,"LGA1150, LGA1151, LGA1155, LGA1156",13.5175,cooler-master-cpu-cooler-dp69edsa0lgp,24.5 ,24.5 ,24.5,2600 ,2600.0,2600.0,No,0.0,,47.0
,1300 - 2500 RPM,,CPU Cooler,/product/RVphP6/corsair-cpu-cooler-cwch100,Yes,Corsair,H100,Corsair H100 92.0 CFM Liquid CPU Cooler,22.0 - 39.0 dbA,CWCH100,[119.99],240mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",119.99,corsair-cpu-cooler-cwch100,22.0 - 39.0 ,39.0,22.0,1300 - 2500 ,1300.0,2500.0,Yes,240.0,,0.0
,400 - 2000 RPM,"4.33"" (110mm)",CPU Cooler,/product/8pgPxr/noctua-cpu-cooler-nhd9l,No,Noctua,,Noctua NH-D9L 46.4 CFM CPU Cooler,16.3 - 22.8 dbA,NH-D9L,"[52.99, 54.95, 54.95]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3",54.2966666667,noctua-cpu-cooler-nhd9l,16.3 - 22.8 ,22.8,16.3,400 - 2000 ,400.0,2000.0,No,0.0,,110.0
,600 - 2000 RPM,"5.12"" (130mm)",CPU Cooler,/product/99DwrH/arctic-cooling-cpu-cooler-acfz13,No,ARCTIC,Freezer 13,ARCTIC Freezer 13 36.4 CFM CPU Cooler,,ACFZ13,"[25.88, 25.99, 29.99, 25.87]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA775",26.9325,arctic-cooling-cpu-cooler-acfz13,0,0,0.0,600 - 2000 ,600.0,2000.0,No,0.0,,130.0
,,,CPU Cooler,/product/XZTmP6/rosewill-cpu-cooler-rcxz300,No,Rosewill,,Rosewill RCX-Z300 CPU Cooler,,RCX-Z300,"[11.99, 17.61, 14.99]",,"LGA1150, LGA1151, LGA1155, LGA1156, LGA775",14.8633333333,rosewill-cpu-cooler-rcxz300,0,0,0.0,0,0.0,0.0,No,0.0,,0.0
Sleeve,800 - 2800 RPM,"3.31"" (84mm)",CPU Cooler,/product/9Bn2FT/cooler-master-cpu-cooler-rrvtps28pkr1,No,Cooler Master,Vortex Plus,Cooler Master Vortex Plus 54.8 CFM Sleeve Bearing CPU Cooler,17.0 - 35.0 dbA,RR-VTPS-28PK-R1,"[25.99, 25.99, 28.99, 34.49, 25.99]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA775",28.29,cooler-master-cpu-cooler-rrvtps28pkr1,17.0 - 35.0 ,35.0,17.0,800 - 2800 ,800.0,2800.0,No,0.0,Sleeve,84.0
,500 - 1350 RPM,,CPU Cooler,/product/4Qhj4D/arctic-liquid-freezer-360-740-cfm-liquid-cpu-cooler-acfre00022a,Yes,ARCTIC,Liquid Freezer 360,ARCTIC Liquid Freezer 360 74.0 CFM Liquid CPU Cooler,22.5 dbA,ACFRE00022A,"[121.48, 148.8]",360mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3",135.14,arctic-liquid-freezer-360-740-cfm-liquid-cpu-cooler-acfre00022a,22.5 ,22.5 ,22.5,500 - 1350 ,500.0,1350.0,Yes,360.0,,0.0
,2435 RPM,,CPU Cooler,/product/G7PzK8/corsair-cpu-cooler-cw9060017ww,Yes,Corsair,H80i GT,Corsair H80i GT 70.7 CFM Liquid CPU Cooler,37.7 dbA,CW-9060017-WW<br/>(or) H80i GT,[109.99],120mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3",109.99,corsair-cpu-cooler-cw9060017ww,37.7 ,37.7 ,37.7,2435 ,2435.0,2435.0,Yes,120.0,,0.0
