Boost Clock,Chipset,Core Clock,CrossFire Support,DVI,DVI-D Dual-Link,DVI-D Single-Link,DVI-I Dual-Link,DVI-I Single-Link,DisplayPort,Fan,HDMI,Interface,Kind,Length,Link,Manufacturer,Memory Size,Memory Type,Mini-Display Port,Mini-HDMI,Model,Name,Part #,Prices,S-Video,SLI Support,Supports Freesync,Supports G-Sync,TDP,VGA,VHDCI,clock_speed_in_mhz,memory_mb,avg,make,boost_clock_speed_mhz,short_link,tdp
1.80GHz,GeForce GTX 1060 6GB,1.58GHz,No,,2,,,,1,Yes,1,PCI-Express x16,Video Card,"8.78"" (223mm)",/product/7RKhP6/gigabyte-geforce-gtx-1060-6gb-windforce-oc-6g-video-card-gv-n1060wf2oc-6gd,Gigabyte,6GB,GDDR5,,,,Gigabyte GeForce GTX 1060 6GB 6GB WINDFORCE OC 6G Video Card,GV-N1060WF2OC-6GD,"[249.99, 264.99, 264.99, 264.99, 364.99]",,No,,Yes,120 Watts,,,1580.0,6000.0,281.99,NVIDIA,1800.0,gigabyte-geforce-gtx-1060-6gb-windforce-oc-6g-video-card-gv-n1060wf2oc-6gd,120.0
1.86GHz,GeForce GTX 1070,1.63GHz,No,,1,,,,2,Yes,2,PCI-Express x16,Video Card,"11.73"" (298mm)",/product/j8rcCJ/asus-geforce-gtx-1070-8gb-video-card-rog-strix-gtx1070-o8g-gaming,Asus,8GB,GDDR5,,,,Asus GeForce GTX 1070 8GB Video Card,ROG STRIX-GTX1070-O8G-GAMING<br/>(or) STRIX-GTX1070-O8G-GAMING,"[419.0, 449.89, 429.99, 431.31, 438.99, 449.99, 453.24]",,Yes,,Yes,150 Watts,,,1630.0,8000.0,438.915714286,NVIDIA,1860.0,asus-geforce-gtx-1070-8gb-video-card-rog-strix-gtx1070-o8g-gaming,150.0
1.32GHz,GeForce GTX 950,1.13GHz,No,,,,1,,3,Yes,1,PCI-Express x16,Video Card,"10.63"" (270mm)",/product/XrVBD3/msi-video-card-gtx950gaming2g,MSI,2GB,GDDR5,,,,MSI GeForce GTX 950 2GB Video Card,GTX 950 GAMING 2G<br/>(or) V320-059R,"[160.66, 199.89]",,Yes,,Yes,90 Watts,,,1130.0,2000.0,180.275,NVIDIA,1320.0,msi-video-card-gtx950gaming2g,90.0
,Radeon HD 5450,650MHz,Yes,,,,1,,,No,1,PCI-Express x16,Video Card,,/product/GxBv6h/his-video-card-h545hr2g,HIS,2GB,DDR3,,,,HIS Radeon HD 5450 2GB Video Card,H545HR2G,[],,No,,,19 Watts,1,,650.0,2000.0,0.0,AMD,0.0,his-video-card-h545hr2g,19.0
,Radeon HD 6850,820MHz,Yes,,,,2,,1,Yes,1,PCI-Express x16,Video Card,,/product/smMFf7/his-video-card-h685qnt1gd,HIS,1GB,GDDR5,,,,HIS Radeon HD 6850 1GB Video Card,H685QNT1GD,[],,No,,,127 Watts,,,820.0,1000.0,0.0,AMD,0.0,his-video-card-h685qnt1gd,127.0
,Radeon HD 4670,750MHz,4-way CrossFire,,,,1,,,Yes,1,PCI-Express x16,Video Card,,/product/yVvRsY/his-video-card-h467qr1gh,HIS,1GB,DDR3,,,,HIS Radeon HD 4670 1GB Video Card,H467QR1GH,[],,No,,,59 Watts,1,,750.0,1000.0,0.0,AMD,0.0,his-video-card-h467qr1gh,59.0
,Radeon HD 6970,900MHz,4-way CrossFire,,,,2,,,Yes,1,PCI-Express x16,Video Card,,/product/PKtCmG/his-video-card-h697ft2g2m,HIS,2GB,GDDR5,2,,,HIS Radeon HD 6970 2GB Video Card,H697FT2G2M,[],,No,,,250 Watts,,,900.0,2000.0,0.0,AMD,0.0,his-video-card-h697ft2g2m,250.0
,Radeon R9 290,947MHz,4-way CrossFire,,2,,,,1,Yes,1,PCI-Express x16,Video Card,"10.83"" (275mm)",/product/QhtWGX/visiontek-video-card-r92904gvtne,VisionTek,4GB,GDDR5,,,,VisionTek Radeon R9 290 4GB Video Card,R92904GVTNE,[],,No,,,250 Watts,,,947.0,4000.0,0.0,AMD,0.0,visiontek-video-card-r92904gvtne,250.0
,Radeon HD 5750,700MHz,Yes,,,,1,,1,Yes,1,PCI-Express x16,Video Card,,/product/qhzv6h/his-video-card-h575qs1gd,HIS,1GB,GDDR5,,,,HIS Radeon HD 5750 1GB Video Card,H575QS1GD,[],,No,,,86 Watts,,,700.0,1000.0,0.0,AMD,0.0,his-video-card-h575qs1gd,86.0
,Radeon HD 6850,775MHz,Yes,,,,2,,1,Yes,1,PCI-Express x16,Video Card,,/product/RgMFf7/his-video-card-h685f1gd,HIS,1GB,GDDR5,,,,HIS Radeon HD 6850 1GB Video Card,H685F1GD,[],,No,,,127 Watts,,,775.0,1000.0,0.0,AMD,0.0,his-video-card-h685f1gd,127.0
