CPU,CPU Socket,Chipset,CrossFire Support,Floppy,Form Factor,Half Mini-PCI-Express,Kind,Link,Manufacturer,Maximum Supported Memory,Memory Slots,Memory Type,Micro SATA 6 Gb/s,Mini-PCI-Express,Mini-PCI-Express/mSATA,Model,Name,Onboard Ethernet,Onboard USB 3.0 Header(s),Onboard Video,PATA 100,PATA 133,Part #,Prices,RAID Support,SAS 12 Gb/s,SAS 3 Gb/s,SAS 6 Gb/s,SATA 1.5 Gb/s,SATA 3 Gb/s,SATA 6 Gb/s,SATA Express,SLI Support,U.2,U.2 (SFF-8639),eSATA 3Gb/s,eSATA 6Gb/s,mSATA,avg,short_link,socket,max_mem,mem_slots
,AM3,AMD 760G,No,,Micro ATX,,Motherboard,/product/QBn2FT/asrock-motherboard-760gmgs3,ASRock,8GB,2 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600 / 1800,,,,,ASRock 760GM-GS3 Micro ATX AM3 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,1,760GM-GS3,[],Yes,,,,,4,,,No,,,,,,0.0,asrock-motherboard-760gmgs3,AM3,8.0,2 x 240-pin DIMM
,AM3+,AMD 880G,No,,Micro ATX,,Motherboard,/product/mHH323/asrock-motherboard-880gmlefx,ASRock,8GB,2 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600 / 1800,,,,,ASRock 880GM-LE FX Micro ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,No,Yes,,1,880GM-LE FX,[],Yes,,,,,6,,,No,,,,,,0.0,asrock-motherboard-880gmlefx,AM3+,8.0,2 x 240-pin DIMM
,LGA1150,Intel B85,No,,Micro ATX,,Motherboard,/product/FvPfrH/asrock-motherboard-b85mhds,ASRock,16GB,2 x 240-pin DIMM,DDR3-1066 / 1333 / 1600,,,,,ASRock B85M-HDS Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,B85M-HDS,"[63.99, 90.85]",No,,,,,,4,,No,,,,,,77.42,asrock-motherboard-b85mhds,LGA1150,16.0,2 x 240-pin DIMM
,AM3+,AMD 990FX,Yes,,ATX,,Motherboard,/product/fHyFf7/asus-motherboard-crosshairvformulathunderbolt,Asus,32GB,4 x 240-pin DIMM,DDR3-1066 / 1333 / 1600 / 1800 / 2000 / 2133,,,,,Asus Crosshair V Formula/Thunderbolt ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,Yes,No,,,Crosshair V Formula/Thunderbolt,[],Yes,,,,,,7,,3-way SLI,,,,1,,0.0,asus-motherboard-crosshairvformulathunderbolt,AM3+,32.0,4 x 240-pin DIMM
,LGA1155,Intel Z68,No,,Mini ITX,,Motherboard,/product/vWh9TW/zotac-motherboard-z68itxbe,Zotac,16GB,2 x 204-pin SODIMM,DDR3-1333,,,,,Zotac Z68ITX-B-E Mini ITX LGA1155 Motherboard,1 x 10/100/1000 Mbps,Yes,Yes,,,Z68ITX-B-E,[],Yes,,,,,2,2,,No,,,1,,1,0.0,zotac-motherboard-z68itxbe,LGA1155,16.0,2 x 204-pin SODIMM
,LGA1155,Intel Z68,No,,ATX,,Motherboard,/product/78Np99/evga-motherboard-130sbe685kr,EVGA,16GB,4 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600 / 1800 / 1866 / 2133,,,,,EVGA 130-SB-E685-KR ATX LGA1155 Motherboard,2 x 10/100/1000 Mbps,No,No,,,130-SB-E685-KR,[],Yes,,,,,3,2,,Yes,,,1,,,0.0,evga-motherboard-130sbe685kr,LGA1155,16.0,4 x 240-pin DIMM
,LGA1155,Intel Z68,No,,Micro ATX,,Motherboard,/product/fyCwrH/asrock-motherboard-z68musb3,ASRock,16GB,2 x 240-pin DIMM,DDR3-1066 / 1333 / 1600 / 1866 / 2133,,,,,ASRock Z68M/USB3 Micro ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,Z68M/USB3,[],Yes,,,,,4,2,,No,,,,,,0.0,asrock-motherboard-z68musb3,LGA1155,16.0,2 x 240-pin DIMM
,LGA1155,Intel Z68,No,,Mini ITX,,Motherboard,/product/L96BD3/asrock-motherboard-z68mitxht,ASRock,16GB,2 x 240-pin DIMM,DDR3-1066 / 1333 / 1600 / 1866 / 2133,,,,,ASRock Z68M-ITX/HT Mini ITX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,Z68M-ITX/HT,[],Yes,,,,,2,2,,No,,,1,,,0.0,asrock-motherboard-z68mitxht,LGA1155,16.0,2 x 240-pin DIMM
,AM3/AM2+/AM2,AMD 785G,No,,Micro ATX,,Motherboard,/product/npckcf/asrock-motherboard-a785gmle,ASRock,8GB,2 x 240-pin DIMM,DDR2-533 / 667 / 800 / 1066,,,,,ASRock A785GM-LE Micro ATX AM3/AM2+/AM2 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,1,A785GM-LE,[],Yes,,,,,6,,,No,,,,,,0.0,asrock-motherboard-a785gmle,AM3/AM2+/AM2,8.0,2 x 240-pin DIMM
,AM3,AMD 880G,No,,Micro ATX,,Motherboard,/product/78tCmG/biostar-motherboard-ta880gu3,Biostar,16GB,4 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600,,,,,Biostar TA880GU3+ Micro ATX AM3 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,,TA880GU3+,[],Yes,,,,,,6,,No,,,,,,0.0,biostar-motherboard-ta880gu3,AM3,16.0,4 x 240-pin DIMM
