Cache,Capacity,Form Factor,GB/$1.00,Hybrid SSD Cache,Interface,Kind,Link,Manufacturer,Model,NAND Flash Type,Name,Part #,Power Loss Protection,Price/GB,Prices,RPM,SSD Controller,avg,short_link,storage_gb,rpm,is_ssd,ppgb,form_factor
64MB,1TB,"3.5""",20.14,,SATA 6 Gb/s,Storage,/product/MwW9TW/western-digital-internal-hard-drive-wd10ezex,Western Digital,,,"Western Digital Caviar Blue 1TB 3.5"" 7200RPM Internal Hard Drive",WD10EZEX,,$0.050,"[49.66, 49.69, 49.99, 49.99, 49.99, 49.99, 53.79, 55.99, 49.99, 59.75, 59.99, 54.99]",7200,,52.8175,western-digital-internal-hard-drive-wd10ezex,1000.0,7200.0,No,0.05,"3.5"""
64MB,2TB,"3.5""",17.10,,SATA 6 Gb/s,Storage,/product/XtjG3C/western-digital-internal-hard-drive-wd2003fzex,Western Digital,,,"Western Digital BLACK SERIES 2TB 3.5"" 7200RPM Internal Hard Drive",WD2003FZEX,,$0.058,"[116.99, 117.99, 124.99, 125.89, 126.99, 132.99, 137.99, 139.99, 151.99]",7200,,130.645555556,western-digital-internal-hard-drive-wd2003fzex,2000.0,7200.0,No,0.058,"3.5"""
64MB,2TB,"3.5""",20.00,8GB,SATA 6 Gb/s,Storage,/product/NpBrxr/seagate-firecuda-2tb-35-7200rpm-hybrid-internal-hard-drive-st2000dx002,Seagate,,,"Seagate FireCuda 2TB 3.5"" 7200RPM Hybrid Internal Hard Drive",ST2000DX002,,$0.050,"[99.99, 104.89, 104.99, 99.99, 109.99, 104.99, 119.99, 119.99]",7200,,108.1025,seagate-firecuda-2tb-35-7200rpm-hybrid-internal-hard-drive-st2000dx002,2000.0,7200.0,No,0.05,"3.5"""
N/A,90GB,"2.5""",0.75,,SATA 6 Gb/s,Storage,/product/JQJwrH/corsair-internal-hard-drive-cssdf90gb3bk,Corsair,,MLC (asynchronous),"Corsair Force Series 3 90GB 2.5"" Solid State Drive",CSSD-F90GB3-BK,,$1.33,[119.99],,Sandforce SF-2281,119.99,corsair-internal-hard-drive-cssdf90gb3bk,90.0,0.0,Yes,1.33,"2.5"""
N/A,512GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/xyMFf7/a-data-internal-hard-drive-asx900s3512gmc,ADATA,,MLC (synchronous),"ADATA XPG SX900 512GB 2.5"" Solid State Drive",ASX900S3-512GM-C,,,[],,Sandforce SF-2281,0.0,a-data-internal-hard-drive-asx900s3512gmc,512.0,0.0,Yes,0.0,"2.5"""
64MB,2TB,"3.5""",14.36,,SAS 6 Gb/s,Storage,/product/4KjG3C/seagate-internal-hard-drive-st32000645ss,Seagate,,,"Seagate Constellation ES.2 2TB 3.5"" 7200RPM Internal Hard Drive",ST32000645SS,,$0.070,[139.29],7200,,139.29,seagate-internal-hard-drive-st32000645ss,2000.0,7200.0,No,0.07,"3.5"""
N/A,100GB,PCI-E,,,PCI-Express x4,Storage,/product/MzTmP6/ocz-internal-hard-drive-oczssdpx1rvdx0100,OCZ,,MLC,OCZ RevoDrive X2 100GB PCI-E Solid State Drive,OCZSSDPX-1RVDX0100,,,[],,Sandforce SF-1222,0.0,ocz-internal-hard-drive-oczssdpx1rvdx0100,100.0,0.0,Yes,0.0,PCI-E
8MB,320GB,"3.5""",3.87,,PATA 100,Storage,/product/n3xfrH/western-digital-internal-hard-drive-wd3200avjb,Western Digital,,,"Western Digital AV 320GB 3.5"" 7200RPM Internal Hard Drive",WD3200AVJB,,$0.26,[82.68],7200,,82.68,western-digital-internal-hard-drive-wd3200avjb,320.0,7200.0,No,0.26,"3.5"""
N/A,180GB,M.2-2280,2.00,,M.2 (B+M),Storage,/product/P3qdnQ/intel-internal-hard-drive-ssdsckgw180a401,Intel,,MLC,Intel 530 Series 180GB M.2-2280 Solid State Drive,SSDSCKGW180A401,,$0.50,[89.99],,Sandforce SF-2281,89.99,intel-internal-hard-drive-ssdsckgw180a401,180.0,0.0,Yes,0.5,M.2-2280
64MB,1TB,"3.5""",10.64,,SAS 6 Gb/s,Storage,/product/tmtCmG/seagate-internal-hard-drive-st1000nm0001,Seagate,,,"Seagate Constellation ES 1TB 3.5"" 7200RPM Internal Hard Drive",ST1000NM0001,,$0.094,[93.99],7200,,93.99,seagate-internal-hard-drive-st1000nm0001,1000.0,7200.0,No,0.094,"3.5"""
