CAS Latency,Color,ECC,Heat Spreader,Kind,Link,Manufacturer,Model,Name,Part #,Price/GB,Prices,Registered,Size,Speed,Timing,Type,Voltage,avg,short_link,CAS,ppgb,is_ddr4,ddr3_speed,ddr4_speed,ddr_speed,dimm,size_gb,mod_count,mod_size,voltage
9,Black/Red,No,Yes,Memory,/product/vBK7YJ/corsair-memory-cmz16gx3m2a1866c10r,Corsair,,Corsair Vengeance 16GB (2 x 8GB) DDR3-1866 Memory,CMZ16GX3M2A1866C10R,$6.43,"[102.88, 103.52, 112.99, 139.99, 161.09]",No,16GB (2 x 8GB),DDR3-1866,9-9-9-24,240-pin DIMM,1.5V,124.094,corsair-memory-cmz16gx3m2a1866c10r,9,6.43,False,1866.0,,1866,240,16.0,2.0,8.0,1.5
17,Black/Green,No,No,Memory,/product/kBZ2FT/patriot-memory-psd48g24002h,Patriot,,Patriot Signature Line 8GB (1 x 8GB) DDR4-2400 Memory,PSD48G24002H,$11.37,[90.99],No,8GB (1 x 8GB),DDR4-2400,,288-pin DIMM,1.2V,90.99,patriot-memory-psd48g24002h,17,11.37,True,,2400.0,2400,288,8.0,1.0,8.0,1.2
12,Black/Silver,No,Yes,Memory,/product/KCL7YJ/mushkin-memory-997197t,Mushkin,,Mushkin Blackline 16GB (2 x 8GB) DDR4-2133 Memory,997197T,,[],No,16GB (2 x 8GB),DDR4-2133,,288-pin DIMM,1.2V,0.0,mushkin-memory-997197t,12,0.0,True,,2133.0,2133,288,16.0,2.0,8.0,1.2
9,Blue/Silver,No,Yes,Memory,/product/TvxfrH/kingston-memory-khx1600c9ad3k24g,Kingston,,Kingston HyperX 4GB (2 x 2GB) DDR3-1600 Memory,KHX1600C9AD3K2/4G,,[],No,4GB (2 x 2GB),DDR3-1600,,240-pin DIMM,1.65V,0.0,kingston-memory-khx1600c9ad3k24g,9,0.0,False,1600.0,,1600,240,4.0,2.0,2.0,1.65
11,Green,Yes,No,Memory,/product/84K7YJ/kingston-memory-kvr16r11d416ha,Kingston,,Kingston 16GB (1 x 16GB) Registered DDR3-1600 Memory,KVR16R11D4/16HA,$9.41,[150.49],Yes,16GB (1 x 16GB),DDR3-1600,,240-pin DIMM,1.5V,150.49,kingston-memory-kvr16r11d416ha,11,9.41,False,1600.0,,1600,240,16.0,1.0,16.0,1.5
9,Black/Red,No,Yes,Memory,/product/W4fp99/gskill-memory-f316000cl9d4gbrhd,G.Skill,,G.Skill Ripjaws+ Turbulence II Series 4GB (2 x 2GB) DDR3-2000 Memory,F3-16000CL9D-4GBRHD,,[],No,4GB (2 x 2GB),DDR3-2000,,240-pin DIMM,1.6V,0.0,gskill-memory-f316000cl9d4gbrhd,9,0.0,False,2000.0,,2000,240,4.0,2.0,2.0,1.6
9,Red,No,Yes,Memory,/product/THXfrH/mushkin-memory-994104,Mushkin,,Mushkin Redline 32GB (4 x 8GB) DDR3-1866 Memory,994104,,[],No,32GB (4 x 8GB),DDR3-1866,,240-pin DIMM,1.5V,0.0,mushkin-memory-994104,9,0.0,False,1866.0,,1866,240,32.0,4.0,8.0,1.5
9,Black/Silver,No,Yes,Memory,/product/zfzv6h/ocz-memory-ocz3rpx1333lv8gk,OCZ,,OCZ Reaper X 8GB (2 x 4GB) DDR3-1333 Memory,OCZ3RPX1333LV8GK,,[],No,8GB (2 x 4GB),DDR3-1333,,240-pin DIMM,1.65V,0.0,ocz-memory-ocz3rpx1333lv8gk,9,0.0,False,1333.0,,1333,240,8.0,2.0,4.0,1.65
9,Silver,No,Yes,Memory,/product/BjV48d/geil-memory-gv32gb1333c9sc,GeIL,,GeIL Value 2GB (1 x 2GB) DDR3-1333 Memory,GV32GB1333C9SC,,[],No,2GB (1 x 2GB),DDR3-1333,,240-pin DIMM,1.5V,0.0,geil-memory-gv32gb1333c9sc,9,0.0,False,1333.0,,1333,240,2.0,1.0,2.0,1.5
9,Black/Silver,No,Yes,Memory,/product/fvyFf7/geil-memory-gvp34gb1600c9dc,GeIL,,GeIL Value PLUS 4GB (2 x 2GB) DDR3-1600 Memory,GVP34GB1600C9DC,,[],No,4GB (2 x 2GB),DDR3-1600,,240-pin DIMM,1.5V,0.0,geil-memory-gvp34gb1600c9dc,9,0.0,False,1600.0,,1600,240,4.0,2.0,2.0,1.5
