Comments,Stars,Type
"These came with the pre-built I had originally, never gave me any trouble and I'm glad to reuse them. ",5,memory
"does what its supposed to, but i need more! ",5,memory
"Basic RAM, works as it should. The basic timings of this memory are 9-9-9-24, and I've run it at 8-8-8-24 since the very beggining with no issues. ",3,memory
"I like these because they aren't ridiculously huge. The PCB isn't coloured black as I hoped it would be, but that's minor. Having 8gb is great for virtual machines and multitasking. The timings are listed as 9-9-9-24 in an XMP profile but  XMP is only supported by Intel. If you have an AMD mobo it will probably load the timings from the JEDEC profile, which are much looser (11-11-11-28, I think). Since it won't load the settings automatically you just have to set them yourself. ",5,memory
RAM is RAM. End of story. ,5,memory
No problems what so ever.  ,5,memory
Its yellow-ish! ,5,memory
Does as advertised. ,5,memory
Good RAM. I made a mismatch on this one. I was originally going for the black Kingston HyperX RAM but there was no stock on the date of purchase. ,4,memory
"Quality RAM, great performer, looks amazing. ",5,memory
8GB of RAM makes this old rig seem refreshed. A wise $30 investment. ,5,memory
"Not going to lie. I bought it because it was the right color blue I wanted. 2666 is a great speed to get that doesn't require more voltage, which is nice and it came in a good price. No complaints here. ",5,memory
"Great timing and good size.  Color is more black than silver, fwiw.  Not an issue for me. ",5,memory
It's ram. it performs as advertised. Enough said. I have not attempted to clock above spec as there is very little point for my purposes.  ,5,memory
Advertised speeds and they look great. Wished there was a way to control the LEDs. ,5,memory
"Looks good, don't really care for performance. ",5,memory
If you plan on running BF4 at 1080p 120+fps YOU NEED 2400mhz ram. I didn't realize how important it was for BF4 until endless hours of messing my machine parts.  Aside from that this thing runs fantastically. I was running at 1866mhz stock by mistake. Sorry I was noob at the time on how to change the MHz of my ram. Once I unlocked its full potential by manually setting it to 2400mhz this thing made all the difference.  No issues. Hope this helps. Feel free to ask me any questions ,5,memory
"Typical, dependable, and reliable RAM from Corsair. Not loud and flashy, and no massive heatsinks so they fit under the cooler. ",5,memory
"Works really well,no problems whatsoever. ",5,memory
"What can I say, its RAM. Good price, good speed, god bless less play.  ",4,memory
"Great RAM, not much to say about it.  ",5,memory
"I managed to get it cheap, otherwise nothing much I can say ",4,memory
"Very good price and I liked its lights, I wanted something subtle, no strips of led loose, something about the hardware, buy your partner when you want more ram, and for the characteristics (ddr4 to 2400), it is worth over other brands . Note: in theory you can not control led lights, they just blink and that's it ",5,memory
"While I currently have only one module of RAM installed, a second one is on its way.  No complaints so for, and games load pretty quickly. ",5,memory
Great kit. Zero issues @ rated speeds ,5,memory
"It's RAM and it's fast. And it looks great, not much of a premium for it either. Sadly the LED effects are not controlled by any software at the moment but nevertheless it looks fantastic. ",5,memory
"A little bit disappointed with this item, as I was not able to overclock it to DDR4-3000 as I expected. But it is a CAS 15 and the price is right. ",4,memory
"Patriot Viper 4, 16G, DDR4-3000.  Working stable on 3000 MHz (overclocked) , XMP is recognized right in BIOS, what more is there to ask? It was a cheapest set I found on Amazon (that's where I purchased most of the parts excluding case and led controller) and I do not regret it. ",5,memory
"Memory - got single channel ram becuase it was on a good deal, running at 1866mhz, i guess it is a good ram, does its job. no problems yet. ",5,memory
Not fancy but functional--what more do you need for a non-OC'd build? ,5,memory
Great ram for a great price. Gives me room to buy another one in the future for more ram if operating systems become more demanding. ,5,memory
Does its job but since it can't run at its proper speed due to motherboard incompatibles so I can't speak to how it performs at normal speeds but at 1600 it works great! ,5,memory
Works perfectly. ,5,memory
