Aspect_Ratio,BNC,Brightness,Built-in_Speakers,Component,Contrast_Ratio,Curved,Curved_Screen,DVI,DVI-D_Dual-Link,DVI-I_Dual-Link,Display_Colors,DisplayPort,HDMI,IPS,Kind,LED,Link,Manufacturer,Mini-Display_Port,Model,Name,Part_#,Prices,Pricing,Recommended_Resolution,Refresh_Rate,Response_Time,S-Video,Screen_Size,Supports_Freesync,Supports_G-Sync,VGA,Viewing_Angle,Widescreen,screen_size,response,avg,refresh,screen_res,screen_area,screen_dims,screen_x,screen_y,price_per_sq_in
16:9,,350.0,Yes,,"80,000,000:1",,,,1,,16700000,1,1,No,Monitor,Yes,/product/rkphP6/asus-monitor-vg248qe,Asus,,,"Asus VG248QE 24.0"" 1920x1080 144Hz Monitor",VG248QE,"[269.0, 269.99, 279.99, 289.99, 279.99, 335.52]","{u'jet': 335.52, u'ncixus': 289.99, u'bestbuy': 279.99, u'superbiiz': 269.99, u'bhphotovideo': 269.0, u'amazon': 279.99}",1920 x 1080,144Hz,1 ms,,24,,,,170° H x 160° V,Yes,24.0,1.0,287.413333333,144.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,1.16775527263
21:9,,250.0,No,,,,,,,,,,2,Yes,Monitor,Yes,/product/wNcMnQ/lg-monitor-25um58p,LG,,,"LG 25UM58-P 25.0"" 2560x1080 75Hz Monitor",25UM58-P,"[179.0, 185.18, 229.99]","{u'ncixus': 229.99, u'amazon': 185.18, u'bhphotovideo': 179.0}",2560 x 1080,75Hz,5 ms,,25,,,,178° H x 178° V,Yes,25.0,5.0,198.056666667,75.0,"(21.0, 9.0)",226.293103448,"[22.9786257505, 9.84798246448]",22.9786257505,9.84798246448,0.87522184127
16:9,,250.0,No,,"80,000,000:1",,,1,,,16700000,,2,No,Monitor,Yes,/product/vvH323/asus-monitor-vx248h,Asus,,,"Asus VX248H 24.0"" 1920x1080 60Hz Monitor",VX248H,"[169.99, 169.0, 184.89, 189.99]","{u'outletpc': 184.89, u'amazon': 169.0, u'newegg': 169.99, u'superbiiz': 189.99}",1920 x 1080,60Hz,1 ms,,24,,,1,170° H x 160° V,Yes,24.0,1.0,178.4675,60.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,0.725110285253
16:9,,300.0,No,,DCR 70000:1 (1000:1),,,1,,,,,,No,Monitor,No,/product/pG9KHx/samsung-monitor-s24b30bl,Samsung,,,"Samsung S24B30BL 23.6"" 1920x1080 Monitor",S24B30BL,[],{},1920 x 1080,,5 ms,,23.6,,,1,170° H x 160° V,Yes,23.6,5.0,0.0,0.0,"(16.0, 9.0)",237.98884273,"[20.5691826761, 11.5701652553]",20.5691826761,11.5701652553,0.0
16:9,,250.0,No,,"1,000:1",,,1,,,,,1,Yes,Monitor,Yes,/product/fnTrxr/hp-monitor-c4d27aaaba,HP,,,"HP C4D27AA#ABA 27.0"" 1920x1080 60Hz Monitor",C4D27AA#ABA,[],{},1920 x 1080,60Hz,7 ms,,27,,,1,,Yes,27.0,7.0,0.0,60.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
16:9,,250.0,No,,1000:1,,,,,,16700000,,,No,Monitor,Yes,/product/Pnzv6h/v7-monitor-led185w18n,V7,,,"V7 LED185W1-8N 18.5"" 1366x768 Monitor",LED185W1-8N,[99.0],{u'amazon': 99.0},1366 x 768,,5 ms,,18.5,,,1,170° H x 160° V,Yes,18.5,5.0,99.0,0.0,"(16.0, 9.0)",146.243323442,"[16.1241474368, 9.0698329332]",16.1241474368,9.0698329332,0.676953981008
16:9,,200.0,No,,"DCR 1,000,000:1 (600:1)",,,1,,,,,,No,Monitor,Yes,/product/DQzZxr/hp-monitor-e2t08a8aba,HP,,,"HP E2T08A8#ABA 21.5"" 1920x1080 60Hz Monitor",E2T08A8#ABA,[],{},1920 x 1080,60Hz,5 ms,,21.5,,,1,90° H x 50° V,Yes,21.5,5.0,0.0,60.0,"(16.0, 9.0)",197.519287834,"[18.7388740482, 10.5406166521]",18.7388740482,10.5406166521,0.0
16:9,,270.0,No,,"DCR 8,000,000:1 (1000:1)",,,1,,,16700000,,1,Yes,Monitor,Yes,/product/RYkD4D/dell-monitor-s2740l,Dell,,,"Dell S2740L 27.0"" 1920x1080 60Hz Monitor",S2740L,[],{},1920 x 1080,60Hz,7 ms,,27,,,1,178° H x 178° V,Yes,27.0,7.0,0.0,60.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
16:9,,250.0,Yes,,"80,000,000:1",,,1,,,16700000,,2,Yes,Monitor,Yes,/product/TZNp99/asus-monitor-vg27ah,Asus,,,"Asus VG27AH 27.0"" 1920x1080 Monitor",VG27AH,[],{},1920 x 1080,,5 ms,,27,,,1,178° H x 178° V,Yes,27.0,5.0,0.0,0.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
5:4,,250.0,Yes,,"DC 20,000,000:1 (1000:1)",,,1,,,,,,No,Monitor,Yes,/product/vD9KHx/viewsonic-monitor-vg732mled,ViewSonic,,,"ViewSonic VG732m-LED 17.0"" 1280x1024 Monitor",VG732m-LED,[],{},1280 x 1024,,,,17,,,1,170° H x 160° V,No,17.0,0.0,0.0,0.0,"(5.0, 4.0)",140.975609756,"[13.2747697605, 10.6198158084]",13.2747697605,10.6198158084,0.0
