Comments,Stars,Type
"I was nervous to flash the bios after reading about several people that had bricked their boards by doing it wrong, but it worked like a charm. It has a lot of good fan power placements around the board. The SLI setup is pretty good as well! ",5,Motherboard
"Does not have hot swap.  IPMI firmware needs to be upgraded before it works, contact supermicro directly, the website has out of date firmware.  Requires 4-pin fans for speed control.  Other than that no issues with this board. ",4,Motherboard
"When Asus says Deluxe, they meant it. Everything about this motherboard screams quality - easy to work with, tons of features, excellent documentation. I may never use half of what this mobo can do, but I'm glad I have it. ",5,Motherboard
"IDK anything about this board but it works, wish it had more features but it's a business class board and held up pretty well up, so I'm happy. oooooooh also this is the only build with this motherboard so I feel specccccccccccccccial ",5,Motherboard
"I had a bad board, but i bought it second hand. New Board seems to be much better, and it allowed me to update the BIOS. I may steer clear of Asrock in the future though... It does however OC well, and the BIOS is easy to navigate.  ",3,Motherboard
The motherboard was a mandatory pick for the 1155 socket. This socket doesn't have any great value motherboards. The BIOS is fair. I've picked up compaints about audio quality coming from my mic that were not existent prior to upgrading to this motherboard. The USB and 3.5mm jacks are not the highest quality. The best part of this motherboard is the Intel sound when booting. ,4,Motherboard
"I had to RMA this at 4 months, works now... will update stars when more time goes by... ",2,Motherboard
"This was a pretty good deal at the time. The BIOS is pretty easy to navigate, with many OC options. The system fan controller, Fan Xpert 2, was lacking some features, but I worked around them by lightly modifying the profile files. One feature I’ve found to be extremely helpful is the BIOS Direct boot hardware button. I’ve needed that a few times when I got stuck in bootloops while testing tolerances. If you plan on overclocking on a UEFI system, make sure it has this. The biggest downside is that the extra two SATA ports are Asmedia and do not connect with the Intel RAID controller. This gave me some headaches with some configuration tests. The Asmedia ports are not bootable, but can be unmounted from an OS. The hot swap for these ports don’t always like to cooperate. I’m currently only using one for my ODD; so far no problems with that. ",4,Motherboard
Far too expensive for my use case. I suppose it's great if you're going to do some more serious overclocking. ,4,Motherboard
my first one the capacitor blow up so i had to buy a new motherboard but this one works fine it got all the inputs i need  ,4,Motherboard
"Great board, only issue I have noticed is that I can't use more than 4 storage drives on the board at the same time. This may be a windows issue though. Not sure but still works perfect. ",5,Motherboard
Easy installation of components.  Plenty of SATA and Fan connectors.  Has a nice little 'Q Connector' that makes it easy to hook up your front panel lights and switches.  BIOS can configure things 12 ways from Sunday if overclocking is your passion. ,5,Motherboard
This motherboard had exactly what I needed for the price range. I have also bought gigabyte motherboards in the past so I felt confident with this choice. ,3,Motherboard
Worked well during time of ownership though the onboard audio was noticeably poor (hissing and crackling could be heard in the background). ,3,Motherboard
"Very basic board lacks major features of its A68,78,88 brethren like USB 3, Sata 3, built in WIFI. It has the bare basics PCI-E 3.0 x16, Gigabit Ethernet, and UEFI Bios. Great for a budget build and for those who want simplicity. ",4,Motherboard
"Not a whole lot to say, it works right and has the right settings to overclock. IO has all the features  I wanted.  BIOS is kind of clunky. ",4,Motherboard
"Would I change it if I could go back? Yes. Was purchased refurbished. The audio was okay in Windows 8, but since 8.1 has been a nightmare, this chipset is not well supported at all. Barely works in Windows 10, and that's with some serious dicking around with the drivers. Drivers have been a bit annoying since day one, the VIA audio makes me miss my old Realtek chip. Audio chip is most of the contempt I have for this board. At this time the ACPI restart function does not work. It shuts down, screen and keyboard go dark, but it never boots back up. Have to reset it. With quick boot on and a USB keyboard, accessing BIOS setup can be difficult. That's typical, but still annoying. ",2,Motherboard
"This board has everything I need and has performed great. M.2 for expansion, Solid placement and layout of headers, and a easy to use and update BIOS. Only downside is the lack of an LED or post Sound and could have some more fan headers other than that has been great.  ",4,Motherboard
love this board. BIOS rocks ,5,Motherboard
"Had an issue with the BIOS, wouldn't POST but luckily I didn't have to do a BIOS upgrade with my CPU and a bootable USB got everything working for me! can't complain since everything is well space and easy enough to access  ",4,Motherboard
